TIME,year,month,T,R_Rf,R_Market,eR_Market,PriceEarningRatio,PriceEarningRatioSA,PriceDividendRatio
1968m3,1968,3,1968.247,0.0037928,0.0057832,0.00199045,16.37684,19.934711,30.2
1968m4,1968,4,1968.329,0.0042908,0.0905717,0.08628092,17.44743,21.277356,32.28463
1968m5,1968,5,1968.414,0.0044899,0.026934,0.0224441,17.70868,21.630227,32.87902
1968m6,1968,6,1968.496,0.0042908,0.0111377,0.00684696,18.04309,22.004623,33.61204
1968m7,1968,7,1968.581,0.0047885,-0.0226547,-0.02744321,17.91072,21.753537,33.39626
1968m8,1968,8,1968.666,0.0041912,0.0174469,0.01325571,17.42629,21.137767,32.52262
1968m9,1968,9,1968.748,0.0042908,0.043634,0.03934326,17.89753,21.680276,33.43234
1968m10,1968,10,1968.833,0.0043903,0.0085632,0.00417288,18.23186,22.004607,34.10738
1968m11,1968,11,1968.915,0.0041912,0.0568528,0.05266161,18.40511,22.195529,34.48197
1968m12,1968,12,1969,0.0042908,-0.0357308,-0.04002159,18.48958,22.277873,34.69056
1969m1,1969,1,1969.082,0.005286,-0.007226,-0.01251205,17.64706,21.194968,33.11688
1969m2,1969,2,1969.159,0.0045895,-0.0553013,-0.05989077,17.5,20.89573,32.8479
1969m3,1969,3,1969.244,0.0045895,0.0305292,0.02593975,17.06186,20.202288,32.03226
1969m4,1969,4,1969.326,0.005286,0.0197046,0.01441858,17.38557,20.428608,32.57235
1969m5,1969,5,1969.411,0.0047885,0.0037928,-0.00099572,17.93144,20.972258,33.52564
1969m6,1969,6,1969.493,0.005087,-0.0690286,-0.07411563,16.97603,19.713342,31.67412
1969m7,1969,7,1969.578,0.005286,-0.0668879,-0.07217395,16.1713,18.681708,30.19444
1969m8,1969,8,1969.663,0.0049875,0.050503,0.04551544,16.0352,18.429516,29.96185
1969m9,1969,9,1969.745,0.0061809,-0.0238829,-0.0300638,16.04584,18.398046,30.00317
1969m10,1969,10,1969.83,0.0059821,0.0550562,0.04907413,16.31892,18.448662,30.29179
1969m11,1969,11,1969.912,0.0051865,-0.0332466,-0.03843312,16.54039,18.43776,30.47832
1969m12,1969,12,1969.997,0.0063796,-0.0201007,-0.02648028,15.76298,17.32693,28.83228
1970m1,1970,1,1970.082,0.0059821,-0.0779615,-0.08394362,15.76091,17.090541,28.54903
1970m2,1970,2,1970.159,0.0061809,0.0559076,0.04972677,15.34507,16.372587,27.52418
1970m3,1970,3,1970.244,0.0056838,-0.004912,-0.01059586,15.746,16.531691,27.9653
1970m4,1970,4,1970.326,0.0049875,-0.1109316,-0.1159191,15.36652,15.873068,27.08511
1970m5,1970,5,1970.411,0.005286,-0.066033,-0.07131898,13.68805,13.983836,23.94331
1970m6,1970,6,1970.493,0.0057832,-0.0535063,-0.05928951,13.69384,13.799692,23.77044
1970m7,1970,7,1970.578,0.0051865,0.0718554,0.06666891,13.85121,13.7265,23.78641
1970m8,1970,8,1970.663,0.005286,0.0489806,0.04369461,14.3941,14.100457,24.45186
1970m9,1970,9,1970.745,0.0053855,0.0461199,0.04073446,15.40672,14.842661,25.88715
1970m10,1970,10,1970.83,0.0045895,-0.0183677,-0.02295711,15.9691,15.064185,26.58721
1970m11,1970,11,1970.912,0.0045895,0.0492662,0.04467679,16.18693,14.950762,26.69902
1970m12,1970,12,1970.997,0.0041912,0.0595888,0.05539759,17.55361,15.873841,28.67834
1971m1,1971,1,1971.082,0.0037928,0.0508832,0.04709041,18.11822,16.461794,29.86901
1971m2,1971,2,1971.159,0.0032946,0.0172504,0.01395579,18.71098,17.034535,31.125
1971m3,1971,3,1971.244,0.0029955,0.0433468,0.0403513,19.08046,17.402903,32.02572
1971m4,1971,4,1971.326,0.0027961,0.0337249,0.03092878,19.60661,17.92411,33.15447
1971m5,1971,5,1971.411,0.0028958,-0.037598,-0.04049383,19.21815,17.564153,32.73903
1971m6,1971,6,1971.493,0.0036932,0.0026964,-0.00099681,18.74436,17.083167,32.16774
1971m7,1971,7,1971.578,0.003992,-0.0418642,-0.04585622,18.48163,16.889415,31.96983
1971m8,1971,8,1971.663,0.004689,0.0417176,0.0370286,18.02968,16.519449,31.43538
1971m9,1971,9,1971.745,0.0036932,-0.0048116,-0.00850473,18.30571,16.856793,32.16829
1971m10,1971,10,1971.83,0.0036932,-0.041343,-0.04503614,17.625,16.428863,31.55355
1971m11,1971,11,1971.912,0.0036932,-0.0009004,-0.00459358,16.53832,15.638713,30.15598
1971m12,1971,12,1971.997,0.0036932,0.0869114,0.0832182,17.39824,16.603557,32.30293
1972m1,1972,1,1972.082,0.0028958,0.0274206,0.02452479,18.00696,17.262997,33.64821
1972m2,1972,2,1972.159,0.0024969,0.0307232,0.02822629,18.22172,17.464148,34.2671
1972m3,1972,3,1972.247,0.0026964,0.0089597,0.00626338,18.537,17.805644,35.08143
1972m4,1972,4,1972.329,0.0028958,0.0057832,0.00288744,18.55601,17.915162,35.43974
1972m5,1972,5,1972.414,0.0029955,0.0153811,0.01238559,18.20281,17.662646,35.08143
1972m6,1972,6,1972.496,0.0028958,-0.0216323,-0.0245281,18.09045,17.640857,35.17915
1972m7,1972,7,1972.581,0.0030952,-0.004912,-0.00800725,17.7876,17.39869,34.88073
1972m8,1972,8,1972.666,0.0028958,0.0348844,0.0319886,18.24659,17.943405,36.07797
1972m9,1972,9,1972.748,0.0033942,-0.0080322,-0.0114264,17.81759,17.613855,35.51948
1972m10,1972,10,1972.833,0.003992,0.0091579,0.00516592,17.5829,17.533184,35.3169
1972m11,1972,11,1972.915,0.0036932,0.0485044,0.04481124,18.19283,18.338895,36.81233
1972m12,1972,12,1973,0.0036932,0.0098513,0.00615814,18.30218,18.645719,37.30159
1973m1,1973,1,1973.082,0.0043903,-0.028914,-0.03330436,18.08553,18.71253,37.50788
1973m2,1973,2,1973.159,0.0040916,-0.0454159,-0.04950748,17.1129,17.88989,36.1012
1973m3,1973,3,1973.244,0.0045895,-0.0084355,-0.01302493,16.52941,17.412142,35.45741
1973m4,1973,4,1973.326,0.0051865,-0.0529789,-0.05816545,15.88575,16.93574,34.61293
1973m5,1973,5,1973.411,0.005087,-0.0246001,-0.02968716,15.12699,16.314339,33.46518
1973m6,1973,6,1973.493,0.005087,-0.0105555,-0.01564255,14.49516,15.808323,32.54659
1973m7,1973,7,1973.578,0.0063796,0.0553401,0.04896049,14.32958,15.889519,32.68792
1973m8,1973,8,1973.663,0.0069756,-0.0316971,-0.0386727,13.77266,15.278501,31.90577
1973m9,1973,9,1973.745,0.006777,0.052877,0.04610005,13.73212,15.475309,32.29358
1973m10,1973,10,1973.83,0.006479,-0.0018016,-0.00828059,13.9932,15.913516,33.20561
1973m11,1973,11,1973.912,0.0055844,-0.1299948,-0.13557917,12.74469,14.651845,30.5085
1973m12,1973,12,1973.997,0.0063796,0.0124225,0.00604291,11.6152,13.49333,28.04142
1974m1,1974,1,1974.082,0.0062802,0.0045895,-0.00169079,11.68273,13.530722,28.26765
1974m2,1974,2,1974.159,0.0057832,0.0010994,-0.00468385,11.26809,12.957321,27.32456
1974m3,1974,3,1974.244,0.0055844,-0.022757,-0.02834137,11.6555,13.310364,28.32558
1974m4,1974,4,1974.326,0.007472,-0.0464629,-0.05393489,10.89473,12.550411,26.72254
1974m5,1974,5,1974.411,0.007472,-0.0400931,-0.04756511,10.41061,11.995437,25.76724
1974m6,1974,6,1974.493,0.0059821,-0.0225524,-0.02853448,10.27346,11.888499,25.65429
1974m7,1974,7,1974.578,0.0069756,-0.0763412,-0.08331685,8.948104,10.394142,22.46742
1974m8,1974,8,1974.663,0.0059821,-0.0915672,-0.09754927,8.460308,9.8241957,21.35674
1974m9,1974,9,1974.745,0.0080674,-0.1160845,-0.12415185,7.477497,8.6804213,18.97493
1974m10,1974,10,1974.83,0.005087,0.1536649,0.14857781,7.684247,8.7449838,19.32469
1974m11,1974,11,1974.912,0.0053855,-0.0405095,-0.04589502,8.003722,8.9489845,19.94623
1974m12,1974,12,1974.997,0.0069756,-0.0278852,-0.03486082,7.544432,8.2890601,18.63056
1975m1,1975,1,1975.082,0.0057832,0.1331313,0.12734807,8.298898,8.9209955,20.02578
1975m2,1975,2,1975.159,0.0042908,0.0581746,0.05388378,9.317561,9.7622467,21.96524
1975m3,1975,3,1975.244,0.0040916,0.0302382,0.02614657,9.914793,10.163797,22.82834
1975m4,1975,4,1975.326,0.0043903,0.0456424,0.04125201,10.22365,10.233076,23.00093
1975m5,1975,5,1975.411,0.0043903,0.0547722,0.05038189,11.09151,10.818139,24.37329
1975m6,1975,6,1975.493,0.0040916,0.0510733,0.04698165,11.60804,11.011355,24.90566
1975m7,1975,7,1975.578,0.0047885,-0.0630463,-0.06783482,11.71749,10.902767,24.92992
1975m8,1975,8,1975.663,0.0047885,-0.0239854,-0.02877388,10.95102,10.08977,23.10243
1975m9,1975,9,1975.745,0.005286,-0.0380134,-0.04329945,10.91108,9.9189054,22.8221
1975m10,1975,10,1975.83,0.0055844,0.0570417,0.05145736,11.31643,10.3276,23.93784
1975m11,1975,11,1975.912,0.0040916,0.0300441,0.02595251,11.4109,10.435859,24.40921
1975m12,1975,12,1975.997,0.0047885,-0.0112632,-0.01605171,11.14322,10.250368,24.10326
1976m1,1976,1,1976.082,0.004689,0.1189379,0.11424894,11.82181,11.185051,26.29686
1976m2,1976,2,1976.159,0.0033942,0.0065783,0.00318408,11.93829,11.586093,27.2875
1976m3,1976,3,1976.247,0.003992,0.0268367,0.02284463,11.67437,11.631754,27.39837
1976m4,1976,4,1976.329,0.0041912,-0.0107577,-0.01494886,11.50545,11.689164,27.44168
1976m5,1976,5,1976.414,0.0036932,-0.0097474,-0.01344052,11.17821,11.532054,27.08294
1976m6,1976,6,1976.496,0.0042908,0.0438255,0.0395347,11.00541,11.543842,27.07447
1976m7,1976,7,1976.581,0.004689,-0.0060181,-0.01070706,11.14439,11.75749,27.4934
1976m8,1976,8,1976.666,0.0041912,-0.001401,-0.00559219,10.93122,11.597986,27.04189
1976m9,1976,9,1976.748,0.0043903,0.0247902,0.02039982,11.04712,11.805991,27.4026
1976m10,1976,10,1976.833,0.0040916,-0.0203048,-0.02439637,10.53775,11.345696,26.017
1976m11,1976,11,1976.915,0.003992,0.0075713,0.00357924,10.33708,11.248856,25.40588
1976m12,1976,12,1977,0.003992,0.0587405,0.05474848,10.56509,11.59759,25.85185
1977m1,1977,1,1977.082,0.0035935,-0.037598,-0.04119157,10.41471,11.437961,25.33765
1977m2,1977,2,1977.159,0.0034939,-0.0160278,-0.01952165,10.07652,11.014842,24.37653
1977m3,1977,3,1977.244,0.0037928,-0.0099493,-0.01374213,9.980159,10.895747,24.00955
1977m4,1977,4,1977.326,0.0037928,0.005286,0.00149321,9.717167,10.636037,23.32416
1977m5,1977,5,1977.411,0.0036932,-0.0108587,-0.01455192,9.582116,10.548487,22.94967
1977m6,1977,6,1977.493,0.003992,0.0498372,0.04584521,9.52879,10.530024,22.77294
1977m7,1977,7,1977.578,0.0041912,-0.0127813,-0.01697254,9.527703,10.567692,22.73826
1977m8,1977,8,1977.663,0.0043903,-0.0131866,-0.01757691,9.210142,10.268386,21.94987
1977m9,1977,9,1977.745,0.0042908,0.0015987,-0.00269206,8.985061,10.067743,21.38445
1977m10,1977,10,1977.83,0.004888,-0.0396768,-0.04456485,8.703807,9.7666663,20.57204
1977m11,1977,11,1977.912,0.0049875,0.0440169,0.03902934,8.705448,9.7663,20.43643
1977m12,1977,12,1977.997,0.004888,0.0075713,0.00268323,8.615243,9.6782666,20.08994
1978m1,1978,1,1978.082,0.004888,-0.056782,-0.06167005,8.279817,9.2414623,19.14782
1978m2,1978,2,1978.159,0.0045895,-0.0092426,-0.01383203,8.15582,9.0452636,18.70636
1978m3,1978,3,1978.244,0.005286,0.0332413,0.02795533,8.133699,8.9504201,18.50417
1978m4,1978,4,1978.326,0.0053855,0.0808424,0.07545692,8.410367,9.2625887,19.16815
1978m5,1978,5,1978.411,0.005087,0.0224462,0.01735915,8.754618,9.6349107,19.98839
1978m6,1978,6,1978.493,0.0053855,-0.0115666,-0.01695211,8.696349,9.549679,19.89002
1978m7,1978,7,1978.578,0.0055844,0.0551508,0.04956647,8.568053,9.425524,19.64756
1978m8,1978,8,1978.663,0.0055844,0.042197,0.03661267,9.068929,10.023971,20.84951
1978m9,1978,9,1978.745,0.0061809,-0.008133,-0.01431384,8.980121,9.9418875,20.69721
1978m10,1978,10,1978.83,0.006777,-0.1191214,-0.12589841,8.508623,9.5336084,19.97351
1978m11,1978,11,1978.912,0.0069756,0.0335315,0.02655587,7.842374,8.9284189,18.7421
1978m12,1978,12,1978.997,0.0077697,0.0164637,0.00869399,7.794809,9.0119418,18.95661
